odd_home,odd_away,score_home,score_away
61.16,43.16,178,164
48.67,55.65,144,161
33.30,70.69,131,122
82.25,21.57,91,106
68.38,35.36,127,89
72.82,32.27,134,107
51.73,52.04,129,107
70.57,32.06,120,118
63.26,39.25,101,112
52.00,53.00,122,110
33.86,69.85,121,111
57.76,45.84,118,110
14.14,88.81,111,126
77.79,26.10,129,120
22.76,81.34,139,148
36.83,66.80,97,106
86.22,18.57,115,108
22.77,81.02,107,108
69.89,33.72,88,118
79.56,24.31,109,112
28.91,73.98,117,113
78.90,24.89,103,87
12.88,92.07,99,112
91.86,11.76,120,104
58.69,45.97,130,120
60.38,43.19,120,111
86.81,22.37,127,125
52.78,50.04,107,104
76.04,27.85,121,112
67.67,36.20,99,90
92.07,15.90,120,118
52.94,49.83,108,124
84.56,18.15,117,104
74.64,31.33,143,120
41.63,62.27,102,101
67.99,35.90,83,103
62.73,40.95,112,117
89.65,17.40,112,123
46.80,57.46,125,134
51.12,52.91,99,90
52.68,51.39,120,129
5.85,97.87,99,104
93.05,9.52,105,90
82.58,21.25,125,105
66.86,36.71,102,96
71.93,31.90,122,117
3.49,100.04,107,117
38.52,65.42,107,122
73.67,30.41,106,125
71.92,31.89,120,103
75.74,28.36,117,110
79.11,23.73,119,106
76.42,27.26,127,118
89.01,13.56,117,95
85.71,18.12,128,129
35.02,68.89,101,119
76.43,27.47,116,92
66.83,36.78,122,112
98.84,6.98,141,102
35.09,68.69,101,127
96.08,6.53,116,88
74.50,30.43,99,93
47.01,57.92,120,125
89.31,16.70,148,129
37.71,66.10,135,130
78.41,27.81,108,118
36.06,67.60,108,106
77.11,26.59,132,122
52.30,51.38,107,119
43.50,61.51,92,105
61.86,40.67,115,117
22.35,81.53,96,103
51.02,52.96,136,94
46.18,57.74,127,112
19.48,84.39,110,118
37.12,66.52,107,109
28.45,77.71,94,113
51.40,52.73,129,103
79.01,24.88,129,137
78.47,25.30,121,103
69.01,34.67,134,129
44.28,60.63,84,96
47.77,57.12,115,108
59.28,44.56,106,107
51.35,51.47,112,118
76.00,30.06,98,125
99.43,3.93,115,101
88.63,15.06,113,108
39.27,63.44,98,111
52.08,51.57,88,95
77.97,27.27,125,118
65.04,38.71,102,89
34.81,70.31,115,131
62.58,41.04,101,111
58.38,45.22,136,122
93.58,10.07,128,112
42.69,61.17,102,118
11.13,92.65,99,113
82.98,20.91,100,92
73.18,30.51,104,113
42.50,61.36,120,123
79.13,24.70,117,114
59.89,43.70,92,105
66.15,37.42,107,100
81.73,22.28,93,89
40.25,63.40,132,105
62.82,39.98,135,113
55.61,47.95,99,97
17.16,86.75,99,105
55.75,48.26,107,89
74.22,30.75,126,94
88.28,15.44,89,105
24.33,79.68,90,114
24.52,80.69,105,121
96.76,6.93,126,124
98.06,5.55,116,121
68.11,35.97,122,117
21.55,82.44,116,113
23.85,80.13,105,115
47.46,56.53,117,126
67.11,36.57,118,123
30.33,74.93,92,95
76.52,27.34,112,104
93.75,11.96,101,92
32.59,72.54,100,132
76.52,27.45,116,102
38.74,66.18,97,106
34.13,70.79,120,123
82.04,23.06,103,98
30.26,73.60,111,125
58.05,45.60,132,119
44.62,59.25,118,112
66.46,39.32,101,104
56.86,46.87,122,108
75.56,28.49,120,111
90.14,13.40,126,110
36.38,67.45,111,115
31.88,72.06,106,103
33.03,70.94,114,126
94.53,10.02,132,95
88.56,16.23,106,102
69.03,33.52,106,101
91.36,12.49,108,99
39.90,62.92,101,106
